ANALYSIS_ID,DISTRIBUTION,COST,DISTRIBUTED_FIELD,ANALYSIS_NAME,STRATUM_1_NAME,STRATUM_2_NAME,STRATUM_3_NAME,STRATUM_4_NAME,STRATUM_5_NAME
0,0,0,,Source name,,,,,
1,0,0,,Number of persons,,,,,
2,0,0,,Number of persons by gender,gender_concept_id,,,,
3,0,0,,Number of persons by year of birth,year_of_birth,,,,
101,0,0,,"Number of persons by age, with age at first observation period",age,,,,
102,0,0,,"Number of persons by gender by age, with age at first observation period",gender_concept_id,age,,,
103,1,0,,Distribution of age at first observation period,,,,,
104,1,0,,Distribution of age at first observation period by gender,gender_concept_id,,,,
105,1,0,,Length of observation (days) of first observation period,,,,,
106,1,0,,Length of observation (days) of first observation period by gender,gender_concept_id,,,,
107,1,0,,Length of observation (days) of first observation period by age decile,age decile,,,,
108,0,0,,"Number of persons by length of observation period, in 30d increments",Observation period length 30d increments,,,,
109,0,0,,Number of persons with continuous observation in each year,calendar year,,,,
110,0,0,,Number of persons with continuous observation in each month,calendar month,,,,
111,0,0,,Number of persons by observation period start month,calendar month,,,,
112,0,0,,Number of persons by observation period end month,calendar month,,,,
200,0,0,,"Number of persons with at least one visit occurrence, by visit_concept_id",visit_concept_id,,,,
201,0,0,,"Number of visit occurrence records, by visit_concept_id",visit_concept_id,,,,
203,1,0,,Number of distinct visit occurrence concepts per person,,,,,
206,1,0,,Distribution of age by visit_concept_id,visit_concept_id,gender_concept_id,,,
211,1,0,,Distribution of length of stay by visit_concept_id,visit_concept_id,,,,
220,0,0,,Number of visit occurrence records by visit occurrence start month,calendar month,,,,
400,0,0,,"Number of persons with at least one condition occurrence, by condition_concept_id",condition_concept_id,,,,
401,0,0,,"Number of condition occurrence records, by condition_concept_id",condition_concept_id,,,,
403,1,0,,Number of distinct condition occurrence concepts per person,,,,,
405,0,0,,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id",condition_concept_id,condition_type_concept_id,,,
406,1,0,,Distribution of age by condition_concept_id,condition_concept_id,gender_concept_id,,,
420,0,0,,Number of condition occurrence records by condition occurrence start month,calendar month,,,,
501,0,0,,"Number of records of death, by cause_concept_id",cause_concept_id,,,,
502,0,0,,Number of persons by death month,calendar month,,,,
506,1,0,,Distribution of age at death by gender,gender_concept_id,,,,
600,0,0,,"Number of persons with at least one procedure occurrence, by procedure_concept_id",procedure_concept_id,,,,
601,0,0,,"Number of procedure occurrence records, by procedure_concept_id",procedure_concept_id,,,,
603,1,0,,Number of distinct procedure occurrence concepts per person,,,,,
605,0,0,,"Number of procedure4 occurrence records, by procedure_concept_id by procedure_type_concept_id",procedure_concept_id,procedure_type_concept_id,,,
606,1,0,,Distribution of age by procedure_concept_id,procedure_concept_id,gender_concept_id,,,
620,0,0,,Number of procedure occurrence records  by procedure occurrence start month,calendar month,,,,
700,0,0,,"Number of persons with at least one drug exposure, by drug_concept_id",drug_concept_id,,,,
701,0,0,,"Number of drug exposure records, by drug_concept_id",drug_concept_id,,,,
703,1,0,,Number of distinct drug exposure concepts per person,,,,,
705,0,0,,"Number of drug exposure records, by drug_concept_id by drug_type_concept_id",drug_concept_id,drug_type_concept_id,,,
706,1,0,,Distribution of age by drug_concept_id,drug_concept_id,gender_concept_id,,,
715,1,0,,Distribution of days_supply by drug_concept_id,drug_concept_id,,,,
716,1,0,,Distribution of refills by drug_concept_id,drug_concept_id,,,,
717,1,0,,Distribution of quantity by drug_concept_id,drug_concept_id,,,,
720,0,0,,Number of drug exposure records  by drug exposure start month,calendar month,,,,
800,0,0,,"Number of persons with at least one observation occurrence, by observation_concept_id",observation_concept_id,,,,
801,0,0,,"Number of observation occurrence records, by observation_concept_id",observation_concept_id,,,,
803,1,0,,Number of distinct observation occurrence concepts per person,,,,,
805,0,0,,"Number of observation occurrence records, by observation_concept_id by observation_type_concept_id",observation_concept_id,observation_type_concept_id,,,
806,1,0,,Distribution of age by observation_concept_id,observation_concept_id,gender_concept_id,,,
815,1,0,,"Distribution of numeric values, by observation_concept_id and unit_concept_id",,,,,
820,0,0,,Number of observation records  by observation start month,calendar month,,,,
901,0,0,,"Number of drug era records, by drug_concept_id",drug_concept_id,,,,
920,0,0,,Number of drug era records  by drug era start month,calendar month,,,,
1001,0,0,,"Number of condition era records, by condition_concept_id",condition_concept_id,,,,
1020,0,0,,Number of condition era records by condition era start month,calendar month,,,,
1800,0,0,,"Number of persons with at least one measurement occurrence, by measurement_concept_id",measurement_concept_id,,,,
1801,0,0,,"Number of measurement occurrence records, by measurement_concept_id",measurement_concept_id,,,,
1803,1,0,,Number of distinct mesurement occurrence concepts per person,,,,,
1805,0,0,,"Number of measurement occurrence records, by measurement_concept_id by measurement_type_concept_id",measurement_concept_id,measurement_type_concept_id,,,
1806,1,0,,Distribution of age by measurement_concept_id,measurement_concept_id,gender_concept_id,,,
1815,1,0,,"Distribution of numeric values, by measurement_concept_id and unit_concept_id",,,,,
1816,1,0,,"Distribution of low range, by measurement_concept_id and unit_concept_id",,,,,
1817,1,0,,"Distribution of high range, by measurement_concept_id and unit_concept_id",,,,,
1820,0,0,,Number of measurement records  by measurement start month,calendar month,,,,
2100,0,0,,"Number of persons with at least one device exposure, by device_concept_id",device_concept_id,,,,
2101,0,0,,"Number of device exposure records, by device_concept_id",device_concept_id,,,,
2105,0,0,,"Number of device exposure records, by device_concept_id by device_type_concept_id",device_concept_id,device_type_concept_id,,,
2201,0,0,,"Number of note records, by note_type_concept_id",note_type_concept_id,,,,
5000,0,0,,Source and CDM release date; Vocabulary and CDM version,Source Release date,CDM Release date,CDM version,Vocabulary version,